,date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_score,away_score,tournament,city,country,neutral,winner,first_shooter
408,1991-03-27,England,Republic of Ireland,Republic of Ireland,Niall Quinn,29.0,False,False,1,1,UEFA Euro qualification,London,England,False,,
409,1991-05-01,Turkey,England,England,Dennis Wise,32.0,False,False,0,1,UEFA Euro qualification,İzmir,Turkey,False,,
410,1991-10-16,England,Turkey,England,Alan Smith,21.0,False,False,1,0,UEFA Euro qualification,London,England,False,,
411,1991-11-13,Poland,England,Poland,Roman Szewczyk,32.0,False,False,1,1,UEFA Euro qualification,Poznań,Poland,False,,
412,1991-11-13,Poland,England,England,Gary Lineker,77.0,False,False,1,1,UEFA Euro qualification,Poznań,Poland,False,,
413,1992-06-17,Sweden,England,England,David Platt,4.0,False,False,2,1,UEFA Euro,Solna,Sweden,False,,
414,1992-06-17,Sweden,England,Sweden,Jan Eriksson,51.0,False,False,2,1,UEFA Euro,Solna,Sweden,False,,
415,1992-06-17,Sweden,England,Sweden,Tomas Brolin,82.0,False,False,2,1,UEFA Euro,Solna,Sweden,False,,
416,1992-10-14,England,Norway,England,David Platt,55.0,False,False,1,1,FIFA World Cup qualification,London,England,False,,
417,1992-10-14,England,Norway,Norway,Kjetil Rekdal,77.0,False,False,1,1,FIFA World Cup qualification,London,England,False,,
418,1992-11-18,England,Turkey,England,Paul Gascoigne,16.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
419,1992-11-18,England,Turkey,England,Alan Shearer,28.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
420,1992-11-18,England,Turkey,England,Stuart Pearce,60.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
421,1992-11-18,England,Turkey,England,Paul Gascoigne,61.0,False,False,4,0,FIFA World Cup qualification,London,England,False,,
422,1993-02-17,England,San Marino,England,David Platt,13.0,False,False,6,0,FIFA World Cup qualification,London,England,False,,
423,1993-02-17,England,San Marino,England,David Platt,24.0,False,False,6,0,FIFA World Cup qualification,London,England,False,,
424,1993-02-17,England,San Marino,England,David Platt,67.0,False,False,6,0,FIFA World Cup qualification,London,England,False,,
425,1993-02-17,England,San Marino,England,Carlton Palmer,78.0,False,False,6,0,FIFA World Cup qualification,London,England,False,,
426,1993-02-17,England,San Marino,England,David Platt,83.0,False,False,6,0,FIFA World Cup qualification,London,England,False,,
427,1993-02-17,England,San Marino,England,Les Ferdinand,86.0,False,False,6,0,FIFA World Cup qualification,London,England,False,,
428,1993-03-31,Turkey,England,England,David Platt,7.0,False,False,0,2,FIFA World Cup qualification,İzmir,Turkey,False,,
429,1993-03-31,Turkey,England,England,Paul Gascoigne,45.0,False,False,0,2,FIFA World Cup qualification,İzmir,Turkey,False,,
430,1993-04-28,England,Netherlands,England,John Barnes,2.0,False,False,2,2,FIFA World Cup qualification,London,England,False,,
431,1993-04-28,England,Netherlands,England,David Platt,23.0,False,False,2,2,FIFA World Cup qualification,London,England,False,,
432,1993-04-28,England,Netherlands,Netherlands,Dennis Bergkamp,34.0,False,False,2,2,FIFA World Cup qualification,London,England,False,,
433,1993-04-28,England,Netherlands,Netherlands,Peter van Vossen,85.0,False,True,2,2,FIFA World Cup qualification,London,England,False,,
434,1993-05-29,Poland,England,Poland,Dariusz Adamczuk,36.0,False,False,1,1,FIFA World Cup qualification,Chorzów,Poland,False,,
435,1993-05-29,Poland,England,England,Ian Wright,84.0,False,False,1,1,FIFA World Cup qualification,Chorzów,Poland,False,,
436,1993-06-02,Norway,England,Norway,Øyvind Leonhardsen,43.0,False,False,2,0,FIFA World Cup qualification,Oslo,Norway,False,,
437,1993-06-02,Norway,England,Norway,Lars Bohinen,48.0,False,False,2,0,FIFA World Cup qualification,Oslo,Norway,False,,
438,1993-09-08,England,Poland,England,Les Ferdinand,5.0,False,False,3,0,FIFA World Cup qualification,London,England,False,,
439,1993-09-08,England,Poland,England,Paul Gascoigne,49.0,False,False,3,0,FIFA World Cup qualification,London,England,False,,
440,1993-09-08,England,Poland,England,Stuart Pearce,53.0,False,False,3,0,FIFA World Cup qualification,London,England,False,,
441,1993-10-13,Netherlands,England,Netherlands,Ronald Koeman,62.0,False,False,2,0,FIFA World Cup qualification,Rotterdam,Netherlands,False,,
442,1993-10-13,Netherlands,England,Netherlands,Dennis Bergkamp,68.0,False,False,2,0,FIFA World Cup qualification,Rotterdam,Netherlands,False,,
443,1993-11-17,San Marino,England,San Marino,Davide Gualtieri,1.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
444,1993-11-17,San Marino,England,England,Paul Ince,22.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
445,1993-11-17,San Marino,England,England,Ian Wright,34.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
446,1993-11-17,San Marino,England,England,Les Ferdinand,38.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
447,1993-11-17,San Marino,England,England,Ian Wright,46.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
448,1993-11-17,San Marino,England,England,Paul Ince,73.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
449,1993-11-17,San Marino,England,England,Ian Wright,78.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
450,1993-11-17,San Marino,England,England,Ian Wright,90.0,False,False,1,7,FIFA World Cup qualification,Bologna,Italy,True,,
451,1996-06-08,England,Switzerland,England,Alan Shearer,23.0,False,False,1,1,UEFA Euro,London,England,False,,
452,1996-06-08,England,Switzerland,Switzerland,Kubilay Türkyilmaz,83.0,False,True,1,1,UEFA Euro,London,England,False,,
453,1996-06-15,England,Scotland,England,Alan Shearer,53.0,False,False,2,0,UEFA Euro,London,England,False,,
454,1996-06-15,England,Scotland,England,Paul Gascoigne,79.0,False,False,2,0,UEFA Euro,London,England,False,,
455,1996-06-18,England,Netherlands,England,Alan Shearer,23.0,False,True,4,1,UEFA Euro,London,England,False,,
456,1996-06-18,England,Netherlands,England,Teddy Sheringham,51.0,False,False,4,1,UEFA Euro,London,England,False,,
457,1996-06-18,England,Netherlands,England,Alan Shearer,57.0,False,False,4,1,UEFA Euro,London,England,False,,
458,1996-06-18,England,Netherlands,England,Teddy Sheringham,62.0,False,False,4,1,UEFA Euro,London,England,False,,
459,1996-06-18,England,Netherlands,Netherlands,Patrick Kluivert,78.0,False,False,4,1,UEFA Euro,London,England,False,,
