,home,away,date_x,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,next_day,date_y,Price,Open,High,Low,Vol.,Change %
104,Inter,Newcastle United,2003-03-11,2,2,F,UEFA CL,Inter (Italy),Newcastle United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2003-03-12,2003-03-12,"3,287.00","3,452.70","3,466.40","3,277.50",,-4.8
105,Arsenal FC,As Roma,2003-03-11,1,1,F,UEFA CL,Arsenal FC (England),As Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2003-03-12,2003-03-12,"3,287.00","3,452.70","3,466.40","3,277.50",,-4.8
106,Manchester United,FC Basel,2003-03-12,1,1,F,UEFA CL,Manchester United (England),FC Basel (Switzerland),england,switzerland,ENG,CH,Europe,Europe,Europe,international,2003-03-13,2003-03-13,"3,486.90","3,287.00","3,489.10","3,287.00",,6.08
107,Deportivo La Coruna,Manchester United,2003-03-18,2,0,F,UEFA CL,Deportivo La Coruna (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2003-03-19,2003-03-19,"3,765.40","3,747.30","3,828.30","3,716.50",,0.48
108,Newcastle United,FC Barcelona,2003-03-19,0,2,F,UEFA CL,Newcastle United (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2003-03-20,2003-03-20,"3,765.70","3,765.40","3,790.70","3,715.80",,0.01
109,Valencia CF,Arsenal FC,2003-03-19,2,1,F,UEFA CL,Valencia CF (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2003-03-20,2003-03-20,"3,765.70","3,765.40","3,790.70","3,715.80",,0.01
110,Real Madrid,Manchester United,2003-04-08,3,1,F,UEFA CL,Real Madrid (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2003-04-09,2003-04-09,"3,861.40","3,868.80","3,907.10","3,824.50",,-0.19
111,Manchester United,Real Madrid,2003-04-23,4,3,F,UEFA CL,Manchester United (England),Real Madrid (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2003-04-24,2003-04-24,"3,899.00","3,966.50","3,977.80","3,892.20",,-1.7
112,MSk Zilina,Chelsea FC,2003-08-12,0,2,F,UEFA CL,MSk Zilina (Slovakia),Chelsea FC (England),slovakia,england,SK,ENG,Europe,Europe,Europe,international,2003-08-13,2003-08-13,"4,180.70","4,185.60","4,216.80","4,175.10",,-0.12
113,Partizan,Newcastle United,2003-08-13,0,1,F,UEFA CL,Partizan (Serbia),Newcastle United (England),serbia,england,RS,ENG,Europe,Europe,Europe,international,2003-08-14,2003-08-14,"4,237.80","4,180.70","4,242.80","4,180.70",,1.37
114,Newcastle United,Partizan,2003-08-19,0,1,P,UEFA CL,Newcastle United (England),Partizan (Serbia),england,serbia,ENG,RS,Europe,Europe,Europe,international,2003-08-20,2003-08-20,"4,217.40","4,250.80","4,254.40","4,196.50",,-0.79
115,Chelsea FC,MSk Zilina,2003-08-20,3,0,F,UEFA CL,Chelsea FC (England),MSk Zilina (Slovakia),england,slovakia,ENG,SK,Europe,Europe,Europe,international,2003-08-21,2003-08-21,"4,223.50","4,217.40","4,250.40","4,217.10",,0.14
116,Sparta Praha,Chelsea FC,2003-09-16,0,1,F,UEFA CL,Sparta Praha (Czech Republic),Chelsea FC (England),czech-republic,england,CZ,ENG,Europe,Europe,Europe,international,2003-09-17,2003-09-17,"4,293.00","4,299.00","4,329.60","4,293.00",,-0.14
117,Manchester United,Panathinaikos,2003-09-16,5,0,F,UEFA CL,Manchester United (England),Panathinaikos (Greece),england,greece,ENG,GR,Europe,Europe,Europe,international,2003-09-17,2003-09-17,"4,293.00","4,299.00","4,329.60","4,293.00",,-0.14
118,Arsenal FC,Inter,2003-09-17,0,3,F,UEFA CL,Arsenal FC (England),Inter (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2003-09-18,2003-09-18,"4,314.70","4,293.00","4,314.70","4,284.40",,0.51
119,Lokomotiv Moskva,Arsenal FC,2003-09-30,0,0,F,UEFA CL,Lokomotiv Moskva (Russia),Arsenal FC (England),russia,england,RU,ENG,Europe,Europe,Europe,international,2003-10-01,2003-10-01,"4,169.20","4,091.30","4,169.20","4,091.30",,1.9
120,Chelsea FC,Besiktas,2003-10-01,0,2,F,UEFA CL,Chelsea FC (England),Besiktas (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,2003-10-02,2003-10-02,"4,209.10","4,169.20","4,209.10","4,169.20",,0.96
121,Vfb Stuttgart,Manchester United,2003-10-01,2,1,F,UEFA CL,Vfb Stuttgart (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2003-10-02,2003-10-02,"4,209.10","4,169.20","4,209.10","4,169.20",,0.96
122,Dinamo Kiev,Arsenal FC,2003-10-21,2,1,F,UEFA CL,Dinamo Kiev (Ukraine),Arsenal FC (England),ukraine,england,UA,ENG,Europe,Europe,Europe,international,2003-10-22,2003-10-22,"4,285.60","4,352.30","4,359.40","4,266.10",,-1.53
123,Chelsea FC,Lazio Roma,2003-10-22,2,1,F,UEFA CL,Chelsea FC (England),Lazio Roma (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2003-10-23,2003-10-23,"4,240.20","4,285.60","4,285.60","4,212.50",,-1.06
124,Rangers FC,Manchester United,2003-10-22,0,1,F,UEFA CL,Rangers FC (Scotland),Manchester United (England),scotland,england,SCO,ENG,Europe,Europe,Europe,international,2003-10-23,2003-10-23,"4,240.20","4,285.60","4,285.60","4,212.50",,-1.06
125,Manchester United,Rangers FC,2003-11-04,3,0,F,UEFA CL,Manchester United (England),Rangers FC (Scotland),england,scotland,ENG,SCO,Europe,Europe,Europe,international,2003-11-05,2003-11-05,"4,303.40","4,330.30","4,330.30","4,288.10",,-0.62
126,Lazio Roma,Chelsea FC,2003-11-04,0,4,F,UEFA CL,Lazio Roma (Italy),Chelsea FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2003-11-05,2003-11-05,"4,303.40","4,330.30","4,330.30","4,288.10",,-0.62
127,Arsenal FC,Dinamo Kiev,2003-11-05,1,0,F,UEFA CL,Arsenal FC (England),Dinamo Kiev (Ukraine),england,ukraine,ENG,UA,Europe,Europe,Europe,international,2003-11-06,2003-11-06,"4,324.20","4,303.40","4,337.70","4,283.40",,0.48
128,Inter,Arsenal FC,2003-11-25,1,5,F,UEFA CL,Inter (Italy),Arsenal FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2003-11-26,2003-11-26,"4,370.30","4,388.70","4,423.60","4,366.70",,-0.42
129,Chelsea FC,Sparta Praha,2003-11-26,0,0,F,UEFA CL,Chelsea FC (England),Sparta Praha (Czech Republic),england,czech-republic,ENG,CZ,Europe,Europe,Europe,international,2003-11-27,2003-11-27,"4,361.10","4,370.30","4,390.40","4,350.70",,-0.21
130,Panathinaikos,Manchester United,2003-11-26,0,1,F,UEFA CL,Panathinaikos (Greece),Manchester United (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2003-11-27,2003-11-27,"4,361.10","4,370.30","4,390.40","4,350.70",,-0.21
131,Manchester United,Vfb Stuttgart,2003-12-09,2,0,F,UEFA CL,Manchester United (England),Vfb Stuttgart (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2003-12-10,2003-12-10,"4,335.40","4,379.60","4,379.60","4,312.50",,-1.01
132,Besiktas,Chelsea FC,2003-12-09,0,2,F,UEFA CL,Besiktas (Turkey),Chelsea FC (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,2003-12-10,2003-12-10,"4,335.40","4,379.60","4,379.60","4,312.50",,-1.01
133,Arsenal FC,Lokomotiv Moskva,2003-12-10,2,0,F,UEFA CL,Arsenal FC (England),Lokomotiv Moskva (Russia),england,russia,ENG,RU,Europe,Europe,Europe,international,2003-12-11,2003-12-11,"4,331.30","4,335.40","4,347.20","4,316.20",,-0.09
134,Celta Vigo,Arsenal FC,2004-02-24,2,3,F,UEFA CL,Celta Vigo (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2004-02-25,2004-02-25,"4,507.50","4,496.80","4,513.90","4,478.70",,0.24
135,Vfb Stuttgart,Chelsea FC,2004-02-25,0,1,F,UEFA CL,Vfb Stuttgart (Germany),Chelsea FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2004-02-26,2004-02-26,"4,515.90","4,507.50","4,526.90","4,500.50",,0.19
136,FC Porto,Manchester United,2004-02-25,2,1,F,UEFA CL,FC Porto (Portugal),Manchester United (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2004-02-26,2004-02-26,"4,515.90","4,507.50","4,526.90","4,500.50",,0.19
137,Chelsea FC,Vfb Stuttgart,2004-03-09,0,0,F,UEFA CL,Chelsea FC (England),Vfb Stuttgart (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2004-03-10,2004-03-10,"4,545.30","4,542.00","4,549.80","4,520.60",,0.07
138,Manchester United,FC Porto,2004-03-09,1,1,F,UEFA CL,Manchester United (England),FC Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2004-03-10,2004-03-10,"4,545.30","4,542.00","4,549.80","4,520.60",,0.07
139,Arsenal FC,Celta Vigo,2004-03-10,2,0,F,UEFA CL,Arsenal FC (England),Celta Vigo (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2004-03-11,2004-03-11,"4,445.20","4,545.30","4,545.30","4,429.20",,-2.2
140,Chelsea FC,Arsenal FC,2004-03-24,1,1,F,UEFA CL,Chelsea FC (England),Arsenal FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2004-03-25,2004-03-25,"4,373.60","4,309.40","4,373.60","4,309.40",,1.49
141,Arsenal FC,Chelsea FC,2004-04-06,1,2,F,UEFA CL,Arsenal FC (England),Chelsea FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2004-04-07,2004-04-07,"4,468.70","4,472.80","4,499.80","4,468.70",,-0.09
142,As Monaco,Chelsea FC,2004-04-20,3,1,F,UEFA CL,As Monaco (France),Chelsea FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2004-04-21,2004-04-21,"4,539.90","4,569.00","4,569.00","4,527.20",,-0.64
143,Chelsea FC,As Monaco,2004-05-05,2,2,F,UEFA CL,Chelsea FC (England),As Monaco (France),england,france,ENG,FR,Europe,Europe,Europe,international,2004-05-06,2004-05-06,"4,516.20","4,569.50","4,571.10","4,511.70",,-1.17
144,Grazer Ak,Liverpool FC,2004-08-10,0,2,F,UEFA CL,Grazer Ak (Austria),Liverpool FC (England),austria,england,AT,ENG,Europe,Europe,Europe,international,2004-08-11,2004-08-11,"4,312.20","4,350.90","4,356.90","4,289.60",,-0.89
145,Dinamo Bucuresti,Manchester United,2004-08-11,1,2,F,UEFA CL,Dinamo Bucuresti (Romania),Manchester United (England),romania,england,RO,ENG,Europe,Europe,Europe,international,2004-08-12,2004-08-12,"4,328.10","4,312.20","4,342.90","4,312.20",,0.37
146,Liverpool FC,Grazer Ak,2004-08-24,0,1,F,UEFA CL,Liverpool FC (England),Grazer Ak (Austria),england,austria,ENG,AT,Europe,Europe,Europe,international,2004-08-25,2004-08-25,"4,411.60","4,407.50","4,419.30","4,399.80",,0.09
147,Manchester United,Dinamo Bucuresti,2004-08-25,3,0,F,UEFA CL,Manchester United (England),Dinamo Bucuresti (Romania),england,romania,ENG,RO,Europe,Europe,Europe,international,2004-08-26,2004-08-26,"4,453.90","4,411.60","4,453.90","4,411.60",,0.96
148,Arsenal FC,PSV Eindhoven,2004-09-14,1,0,F,UEFA CL,Arsenal FC (England),PSV Eindhoven (Netherlands),england,netherlands,ENG,NL,Europe,Europe,Europe,international,2004-09-15,2004-09-15,"4,548.40","4,545.60","4,575.20","4,541.90",,0.06
149,Liverpool FC,As Monaco,2004-09-15,2,0,F,UEFA CL,Liverpool FC (England),As Monaco (France),england,france,ENG,FR,Europe,Europe,Europe,international,2004-09-16,2004-09-16,"4,556.50","4,548.40","4,564.00","4,545.10",,0.18
150,Olympique Lyon,Manchester United,2004-09-15,2,2,F,UEFA CL,Olympique Lyon (France),Manchester United (England),france,england,FR,ENG,Europe,Europe,Europe,international,2004-09-16,2004-09-16,"4,556.50","4,548.40","4,564.00","4,545.10",,0.18
151,Paris Saint Germain,Chelsea FC,2004-09-15,0,3,F,UEFA CL,Paris Saint Germain (France),Chelsea FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2004-09-16,2004-09-16,"4,556.50","4,548.40","4,564.00","4,545.10",,0.18
152,Olympiakos Piraeus,Liverpool FC,2004-09-28,1,0,F,UEFA CL,Olympiakos Piraeus (Greece),Liverpool FC (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2004-09-29,2004-09-29,"4,588.10","4,567.30","4,600.90","4,567.30",,0.46
153,Manchester United,Fenerbahce,2004-09-28,6,2,F,UEFA CL,Manchester United (England),Fenerbahce (Turkey),england,turkey,ENG,TR,Europe,Europe,Europe,international,2004-09-29,2004-09-29,"4,588.10","4,567.30","4,600.90","4,567.30",,0.46
154,Rosenborg Bk,Arsenal FC,2004-09-29,1,1,F,UEFA CL,Rosenborg Bk (Norway),Arsenal FC (England),norway,england,NO,ENG,Europe,Europe,Europe,international,2004-09-30,2004-09-30,"4,570.80","4,588.10","4,607.80","4,569.10",,-0.38
155,Chelsea FC,FC Porto,2004-09-29,3,1,F,UEFA CL,Chelsea FC (England),FC Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2004-09-30,2004-09-30,"4,570.80","4,588.10","4,607.80","4,569.10",,-0.38
156,Liverpool FC,Deportivo La Coruna,2004-10-19,0,0,F,UEFA CL,Liverpool FC (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2004-10-20,2004-10-20,"4,616.40","4,655.20","4,655.20","4,599.30",,-0.83
157,Sparta Praha,Manchester United,2004-10-19,0,0,F,UEFA CL,Sparta Praha (Czech Republic),Manchester United (England),czech-republic,england,CZ,ENG,Europe,Europe,Europe,international,2004-10-20,2004-10-20,"4,616.40","4,655.20","4,655.20","4,599.30",,-0.83
158,Panathinaikos,Arsenal FC,2004-10-20,2,2,F,UEFA CL,Panathinaikos (Greece),Arsenal FC (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2004-10-21,2004-10-21,"4,617.40","4,616.40","4,642.30","4,592.20",,0.02
159,Chelsea FC,CSka Moskva,2004-10-20,2,0,F,UEFA CL,Chelsea FC (England),CSka Moskva (Russia),england,russia,ENG,RU,Europe,Europe,Europe,international,2004-10-21,2004-10-21,"4,617.40","4,616.40","4,642.30","4,592.20",,0.02
160,Arsenal FC,Panathinaikos,2004-11-02,1,1,F,UEFA CL,Arsenal FC (England),Panathinaikos (Greece),england,greece,ENG,GR,Europe,Europe,Europe,international,2004-11-03,2004-11-03,"4,718.50","4,693.20","4,723.60","4,693.20",,0.54
161,CSka Moskva,Chelsea FC,2004-11-02,0,1,F,UEFA CL,CSka Moskva (Russia),Chelsea FC (England),russia,england,RU,ENG,Europe,Europe,Europe,international,2004-11-03,2004-11-03,"4,718.50","4,693.20","4,723.60","4,693.20",,0.54
162,Deportivo La Coruna,Liverpool FC,2004-11-03,0,1,F,UEFA CL,Deportivo La Coruna (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2004-11-04,2004-11-04,"4,728.30","4,718.50","4,728.30","4,698.20",,0.21
163,Manchester United,Sparta Praha,2004-11-03,4,1,F,UEFA CL,Manchester United (England),Sparta Praha (Czech Republic),england,czech-republic,ENG,CZ,Europe,Europe,Europe,international,2004-11-04,2004-11-04,"4,728.30","4,718.50","4,728.30","4,698.20",,0.21
164,As Monaco,Liverpool FC,2004-11-23,1,0,F,UEFA CL,As Monaco (France),Liverpool FC (England),france,england,FR,ENG,Europe,Europe,Europe,international,2004-11-24,2004-11-24,"4,719.40","4,742.40","4,750.90","4,713.60",,-0.48
165,Manchester United,Olympique Lyon,2004-11-23,2,1,F,UEFA CL,Manchester United (England),Olympique Lyon (France),england,france,ENG,FR,Europe,Europe,Europe,international,2004-11-24,2004-11-24,"4,719.40","4,742.40","4,750.90","4,713.60",,-0.48
166,PSV Eindhoven,Arsenal FC,2004-11-24,1,1,F,UEFA CL,PSV Eindhoven (Netherlands),Arsenal FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2004-11-25,2004-11-25,"4,753.40","4,719.40","4,753.40","4,719.40",,0.72
167,Chelsea FC,Paris Saint Germain,2004-11-24,0,0,F,UEFA CL,Chelsea FC (England),Paris Saint Germain (France),england,france,ENG,FR,Europe,Europe,Europe,international,2004-11-25,2004-11-25,"4,753.40","4,719.40","4,753.40","4,719.40",,0.72
168,Arsenal FC,Rosenborg Bk,2004-12-07,5,1,F,UEFA CL,Arsenal FC (England),Rosenborg Bk (Norway),england,norway,ENG,NO,Europe,Europe,Europe,international,2004-12-08,2004-12-08,"4,703.90","4,728.70","4,728.70","4,695.60",,-0.52
169,FC Porto,Chelsea FC,2004-12-07,2,1,F,UEFA CL,FC Porto (Portugal),Chelsea FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2004-12-08,2004-12-08,"4,703.90","4,728.70","4,728.70","4,695.60",,-0.52
170,Liverpool FC,Olympiakos Piraeus,2004-12-08,3,1,F,UEFA CL,Liverpool FC (England),Olympiakos Piraeus (Greece),england,greece,ENG,GR,Europe,Europe,Europe,international,2004-12-09,2004-12-09,"4,688.40","4,703.90","4,719.20","4,675.00",,-0.33
171,Fenerbahce,Manchester United,2004-12-08,3,0,F,UEFA CL,Fenerbahce (Turkey),Manchester United (England),turkey,england,TR,ENG,Europe,Europe,Europe,international,2004-12-09,2004-12-09,"4,688.40","4,703.90","4,719.20","4,675.00",,-0.33
172,Liverpool FC,Bayer Leverkusen,2005-02-22,3,1,F,UEFA CL,Liverpool FC (England),Bayer Leverkusen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2005-02-23,2005-02-23,"4,988.50","5,032.90","5,032.90","4,970.80",,-0.88
173,Bayern Muenchen,Arsenal FC,2005-02-22,3,1,F,UEFA CL,Bayern Muenchen (Germany),Arsenal FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2005-02-23,2005-02-23,"4,988.50","5,032.90","5,032.90","4,970.80",,-0.88
174,FC Barcelona,Chelsea FC,2005-02-23,2,1,F,UEFA CL,FC Barcelona (Spain),Chelsea FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2005-02-24,2005-02-24,"4,972.10","4,988.50","5,002.50","4,972.10",,-0.33
175,Manchester United,AC Milan,2005-02-23,0,1,F,UEFA CL,Manchester United (England),AC Milan (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2005-02-24,2005-02-24,"4,972.10","4,988.50","5,002.50","4,972.10",,-0.33
176,Chelsea FC,FC Barcelona,2005-03-08,4,2,F,UEFA CL,Chelsea FC (England),FC Barcelona (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2005-03-09,2005-03-09,"4,996.10","5,010.90","5,038.90","4,992.90",,-0.3
177,AC Milan,Manchester United,2005-03-08,1,0,F,UEFA CL,AC Milan (Italy),Manchester United (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2005-03-09,2005-03-09,"4,996.10","5,010.90","5,038.90","4,992.90",,-0.3
178,Bayer Leverkusen,Liverpool FC,2005-03-09,1,3,F,UEFA CL,Bayer Leverkusen (Germany),Liverpool FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2005-03-10,2005-03-10,"4,962.10","4,996.10","4,996.10","4,956.80",,-0.68
179,Arsenal FC,Bayern Muenchen,2005-03-09,1,0,F,UEFA CL,Arsenal FC (England),Bayern Muenchen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2005-03-10,2005-03-10,"4,962.10","4,996.10","4,996.10","4,956.80",,-0.68
180,Liverpool FC,Juventus,2005-04-05,2,1,F,UEFA CL,Liverpool FC (England),Juventus (Italy),england,italy,ENG,IT,Europe,Europe,Europe,international,2005-04-06,2005-04-06,"4,947.40","4,942.90","4,953.60","4,937.40",,0.09
181,Chelsea FC,Bayern Muenchen,2005-04-06,4,2,F,UEFA CL,Chelsea FC (England),Bayern Muenchen (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2005-04-07,2005-04-07,"4,977.00","4,947.40","4,984.50","4,947.40",,0.6
182,Bayern Muenchen,Chelsea FC,2005-04-12,3,2,F,UEFA CL,Bayern Muenchen (Germany),Chelsea FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2005-04-13,2005-04-13,"4,960.80","4,946.20","4,973.80","4,946.20",,0.3
183,Juventus,Liverpool FC,2005-04-13,0,0,F,UEFA CL,Juventus (Italy),Liverpool FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2005-04-14,2005-04-14,"4,945.40","4,960.80","4,960.80","4,937.00",,-0.31
184,Chelsea FC,Liverpool FC,2005-04-27,0,0,F,UEFA CL,Chelsea FC (England),Liverpool FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2005-04-28,2005-04-28,"4,790.20","4,789.40","4,820.70","4,775.50",,0.02
185,Liverpool FC,Chelsea FC,2005-05-03,1,0,F,UEFA CL,Liverpool FC (England),Chelsea FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2005-05-04,2005-05-04,"4,882.50","4,861.20","4,882.50","4,847.90",,0.44
186,AC Milan,Liverpool FC,2005-05-25,3,3,P,UEFA CL,AC Milan (Italy),Liverpool FC (England),italy,england,IT,ENG,Europe,Europe,Europe,international,2005-05-26,2005-05-26,"4,994.90","4,971.50","5,004.30","4,956.80",,0.47
187,Liverpool FC,The New Saints,2005-07-13,3,0,F,UEFA CL,Liverpool FC (England),The New Saints (Wales),england,wales,ENG,WAL,Europe,Europe,Europe,international,2005-07-14,2005-07-14,"5,259.70","5,245.90","5,283.90","5,245.90",,0.26
188,The New Saints,Liverpool FC,2005-07-19,0,3,F,UEFA CL,The New Saints (Wales),Liverpool FC (England),wales,england,WAL,ENG,Europe,Europe,Europe,international,2005-07-20,2005-07-20,"5,215.20","5,201.50","5,249.50","5,193.50",,0.26
189,Fbk Kaunas,Liverpool FC,2005-07-26,1,3,F,UEFA CL,Fbk Kaunas (Lithuania),Liverpool FC (England),lithuania,england,LT,ENG,Europe,Europe,Europe,international,2005-07-27,2005-07-27,"5,263.60","5,256.20","5,275.20","5,253.50",,0.14
190,Liverpool FC,Fbk Kaunas,2005-08-02,2,0,F,UEFA CL,Liverpool FC (England),Fbk Kaunas (Lithuania),england,lithuania,ENG,LT,Europe,Europe,Europe,international,2005-08-03,2005-08-03,"5,332.30","5,327.50","5,332.30","5,304.00",,0.09
191,Everton FC,Villarreal CF,2005-08-09,1,2,F,UEFA CL,Everton FC (England),Villarreal CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2005-08-10,2005-08-10,"5,377.50","5,363.70","5,386.40","5,351.20",,0.26
192,Manchester United,Debreceni Vsc,2005-08-09,3,0,F,UEFA CL,Manchester United (England),Debreceni Vsc (Hungary),england,hungary,ENG,HU,Europe,Europe,Europe,international,2005-08-10,2005-08-10,"5,377.50","5,363.70","5,386.40","5,351.20",,0.26
193,CSKA Sofia,Liverpool FC,2005-08-10,1,3,F,UEFA CL,CSKA Sofia (Bulgaria),Liverpool FC (England),bulgaria,england,BG,ENG,Europe,Europe,Europe,international,2005-08-11,2005-08-11,"5,358.60","5,377.50","5,379.60","5,355.10",,-0.35
194,Liverpool FC,CSKA Sofia,2005-08-23,0,1,F,UEFA CL,Liverpool FC (England),CSKA Sofia (Bulgaria),england,bulgaria,ENG,BG,Europe,Europe,Europe,international,2005-08-24,2005-08-24,"5,275.20","5,300.20","5,300.20","5,270.00",,-0.47
195,Debreceni Vsc,Manchester United,2005-08-24,0,3,F,UEFA CL,Debreceni Vsc (Hungary),Manchester United (England),hungary,england,HU,ENG,Europe,Europe,Europe,international,2005-08-25,2005-08-25,"5,255.70","5,275.20","5,275.20","5,248.80",,-0.37
196,Villarreal CF,Everton FC,2005-08-24,2,1,F,UEFA CL,Villarreal CF (Spain),Everton FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2005-08-25,2005-08-25,"5,255.70","5,275.20","5,275.20","5,248.80",,-0.37
197,Real Betis,Liverpool FC,2005-09-13,1,2,F,UEFA CL,Real Betis (Spain),Liverpool FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2005-09-14,2005-09-14,"5,347.40","5,338.00","5,349.70","5,327.10",,0.18
198,Chelsea FC,RSC Anderlecht,2005-09-13,1,0,F,UEFA CL,Chelsea FC (England),RSC Anderlecht (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international,2005-09-14,2005-09-14,"5,347.40","5,338.00","5,349.70","5,327.10",,0.18
199,Arsenal FC,FC Thun,2005-09-14,2,1,F,UEFA CL,Arsenal FC (England),FC Thun (Switzerland),england,switzerland,ENG,CH,Europe,Europe,Europe,international,2005-09-15,2005-09-15,"5,383.50","5,347.40","5,387.10","5,342.50",,0.68
200,Villarreal CF,Manchester United,2005-09-14,0,0,F,UEFA CL,Villarreal CF (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2005-09-15,2005-09-15,"5,383.50","5,347.40","5,387.10","5,342.50",,0.68
201,AFC Ajax,Arsenal FC,2005-09-27,1,2,F,UEFA CL,AFC Ajax (Netherlands),Arsenal FC (England),netherlands,england,NL,ENG,Europe,Europe,Europe,international,2005-09-28,2005-09-28,"5,494.80","5,447.30","5,494.80","5,447.30",,0.87
202,Manchester United,Sl Benfica,2005-09-27,2,1,F,UEFA CL,Manchester United (England),Sl Benfica (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2005-09-28,2005-09-28,"5,494.80","5,447.30","5,494.80","5,447.30",,0.87
203,Liverpool FC,Chelsea FC,2005-09-28,0,0,F,UEFA CL,Liverpool FC (England),Chelsea FC (England),england,england,ENG,ENG,Europe,Europe,Europe,international,2005-09-29,2005-09-29,"5,478.20","5,494.80","5,508.40","5,467.10",,-0.3
204,Sparta Praha,Arsenal FC,2005-10-18,0,2,F,UEFA CL,Sparta Praha (Czech Republic),Arsenal FC (England),czech-republic,england,CZ,ENG,Europe,Europe,Europe,international,2005-10-19,2005-10-19,"5,167.80","5,263.90","5,263.90","5,167.80",,-1.83
205,Manchester United,Lille OSC,2005-10-18,0,0,F,UEFA CL,Manchester United (England),Lille OSC (France),england,france,ENG,FR,Europe,Europe,Europe,international,2005-10-19,2005-10-19,"5,167.80","5,263.90","5,263.90","5,167.80",,-1.83
206,RSC Anderlecht,Liverpool FC,2005-10-19,0,1,F,UEFA CL,RSC Anderlecht (Belgium),Liverpool FC (England),belgium,england,BE,ENG,Europe,Europe,Europe,international,2005-10-20,2005-10-20,"5,164.10","5,167.80","5,234.00","5,146.70",,-0.07
207,Chelsea FC,Real Betis,2005-10-19,4,0,F,UEFA CL,Chelsea FC (England),Real Betis (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2005-10-20,2005-10-20,"5,164.10","5,167.80","5,234.00","5,146.70",,-0.07
208,Real Betis,Chelsea FC,2005-11-01,1,0,F,UEFA CL,Real Betis (Spain),Chelsea FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2005-11-02,2005-11-02,"5,358.60","5,344.30","5,364.70","5,316.00",,0.27
209,Liverpool FC,RSC Anderlecht,2005-11-01,3,0,F,UEFA CL,Liverpool FC (England),RSC Anderlecht (Belgium),england,belgium,ENG,BE,Europe,Europe,Europe,international,2005-11-02,2005-11-02,"5,358.60","5,344.30","5,364.70","5,316.00",,0.27
