,home,away,date_x,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level,next_day,date_y,Price,Open,High,Low,Vol.,Change %
14,Arsenal FC,Valencia CF,2001-04-04,2,1,F,UEFA CL,Arsenal FC (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2001-04-05,2001-04-05,"5,621.80","5,535.70","5,658.90","5,528.70",,1.56
15,Deportivo La Coruna,Leeds United,2001-04-17,2,0,F,UEFA CL,Deportivo La Coruna (Spain),Leeds United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-04-18,2001-04-18,"5,890.20","5,761.10","5,902.60","5,760.70",,2.24
16,Valencia CF,Arsenal FC,2001-04-17,1,0,F,UEFA CL,Valencia CF (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-04-18,2001-04-18,"5,890.20","5,761.10","5,902.60","5,760.70",,2.24
17,Bayern Muenchen,Manchester United,2001-04-18,2,1,F,UEFA CL,Bayern Muenchen (Germany),Manchester United (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2001-04-19,2001-04-19,"5,871.60","5,890.20","5,943.40","5,844.70",,-0.32
18,Leeds United,Valencia CF,2001-05-02,0,0,F,UEFA CL,Leeds United (England),Valencia CF (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2001-05-03,2001-05-03,"5,765.80","5,904.20","5,904.20","5,755.70",,-2.34
19,Valencia CF,Leeds United,2001-05-08,3,0,F,UEFA CL,Valencia CF (Spain),Leeds United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-05-09,2001-05-09,"5,893.70","5,886.40","5,905.30","5,826.80",,0.12
20,Haka Valkeakoski,Liverpool FC,2001-08-08,0,5,F,UEFA CL,Haka Valkeakoski (Finland),Liverpool FC (England),finland,england,FI,ENG,Europe,Europe,Europe,international,2001-08-09,2001-08-09,"5,402.90","5,476.50","5,476.50","5,376.70",,-1.34
21,Liverpool FC,Haka Valkeakoski,2001-08-22,4,1,F,UEFA CL,Liverpool FC (England),Haka Valkeakoski (Finland),england,finland,ENG,FI,Europe,Europe,Europe,international,2001-08-23,2001-08-23,"5,396.50","5,408.70","5,433.40","5,371.00",,-0.23
22,Liverpool FC,Boavista Porto,2001-09-11,1,1,F,UEFA CL,Liverpool FC (England),Boavista Porto (Portugal),england,portugal,ENG,PT,Europe,Europe,Europe,international,2001-09-12,2001-09-12,"4,882.10","4,746.00","4,882.10","4,651.80",,-3.01
23,RCD Mallorca,Arsenal FC,2001-09-11,1,0,F,UEFA CL,RCD Mallorca (Spain),Arsenal FC (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-09-12,2001-09-12,"4,882.10","4,746.00","4,882.10","4,651.80",,-3.01
24,Manchester United,Lille OSC,2001-09-18,1,0,F,UEFA CL,Manchester United (England),Lille OSC (France),england,france,ENG,FR,Europe,Europe,Europe,international,2001-09-19,2001-09-19,"4,721.70","4,848.70","4,874.00","4,697.40",,-2.62
25,Borussia Dortmund,Liverpool FC,2001-09-19,0,0,F,UEFA CL,Borussia Dortmund (Germany),Liverpool FC (England),germany,england,DE,ENG,Europe,Europe,Europe,international,2001-09-20,2001-09-20,"4,556.90","4,721.70","4,743.80","4,523.50",,-3.49
26,Arsenal FC,FC Schalke 04,2001-09-19,3,2,F,UEFA CL,Arsenal FC (England),FC Schalke 04 (Germany),england,germany,ENG,DE,Europe,Europe,Europe,international,2001-09-20,2001-09-20,"4,556.90","4,721.70","4,743.80","4,523.50",,-3.49
27,Deportivo La Coruna,Manchester United,2001-09-25,2,1,F,UEFA CL,Deportivo La Coruna (Spain),Manchester United (England),spain,england,ES,ENG,Europe,Europe,Europe,international,2001-09-26,2001-09-26,"4,696.10","4,663.40","4,715.00","4,606.60",,0.7
28,Liverpool FC,Dinamo Kiev,2001-09-26,1,0,F,UEFA CL,Liverpool FC (England),Dinamo Kiev (Ukraine),england,ukraine,ENG,UA,Europe,Europe,Europe,international,2001-09-27,2001-09-27,"4,763.60","4,696.10","4,763.60","4,651.00",,1.44
29,Panathinaikos,Arsenal FC,2001-09-26,1,0,F,UEFA CL,Panathinaikos (Greece),Arsenal FC (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2001-09-27,2001-09-27,"4,763.60","4,696.10","4,763.60","4,651.00",,1.44
30,Olympiakos Piraeus,Manchester United,2001-10-10,0,2,F,UEFA CL,Olympiakos Piraeus (Greece),Manchester United (England),greece,england,GR,ENG,Europe,Europe,Europe,international,2001-10-11,2001-10-11,"5,164.90","5,153.10","5,279.80","5,136.90",,0.23
31,Dinamo Kiev,Liverpool FC,2001-10-16,1,2,F,UEFA CL,Dinamo Kiev (Ukraine),Liverpool FC (England),ukraine,england,UA,ENG,Europe,Europe,Europe,international,2001-10-17,2001-10-17,"5,203.40","5,082.60","5,229.60","5,082.60",,2.38
32,Arsenal FC,Panathinaikos,2001-10-16,2,1,F,UEFA CL,Arsenal FC (England),Panathinaikos (Greece),england,greece,ENG,GR,Europe,Europe,Europe,international,2001-10-17,2001-10-17,"5,203.40","5,082.60","5,229.60","5,082.60",,2.38
33,Manchester United,Deportivo La Coruna,2001-10-17,2,3,F,UEFA CL,Manchester United (England),Deportivo La Coruna (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2001-10-18,2001-10-18,"5,116.00","5,203.40","5,203.40","5,090.20",,-1.68
34,Manchester United,Olympiakos Piraeus,2001-10-23,3,0,F,UEFA CL,Manchester United (England),Olympiakos Piraeus (Greece),england,greece,ENG,GR,Europe,Europe,Europe,international,2001-10-24,2001-10-24,"5,167.60","5,193.30","5,265.50","5,133.00",,-0.49
35,Boavista Porto,Liverpool FC,2001-10-24,1,1,F,UEFA CL,Boavista Porto (Portugal),Liverpool FC (England),portugal,england,PT,ENG,Europe,Europe,Europe,international,2001-10-25,2001-10-25,"5,086.60","5,167.60","5,217.00","5,043.20",,-1.57
36,Arsenal FC,RCD Mallorca,2001-10-24,3,1,F,UEFA CL,Arsenal FC (England),RCD Mallorca (Spain),england,spain,ENG,ES,Europe,Europe,Europe,international,2001-10-25,2001-10-25,"5,086.60","5,167.60","5,217.00","5,043.20",,-1.57
